,Full Name,State_x,Gender,Party,Term Date,Website,Link,State_y,Politician,Approve,Disapprove,Don't Know / No Opinion,Margin of Error
3,Richard Durbin,IL,Male,Democrat,2015-01-06 to 2021-01-03,https://www.durbin.senate.gov,https://www.govtrack.us/congress/members/richard_durbin/300038,,,,,,
4,Michael Enzi,WY,Male,Republican,2015-01-06 to 2021-01-03,https://www.enzi.senate.gov,https://www.govtrack.us/congress/members/michael_enzi/300041,,,,,,
8,John Reed,RI,Male,Democrat,2015-01-06 to 2021-01-03,https://www.reed.senate.gov,https://www.govtrack.us/congress/members/john_reed/300081,,,,,,
10,Shelley Capito,WV,Female,Republican,2015-01-06 to 2021-01-03,https://www.capito.senate.gov,https://www.govtrack.us/congress/members/shelley_capito/400061,,,,,,
11,Edward Markey,MA,Male,Democrat,2015-01-06 to 2021-01-03,https://www.markey.senate.gov,https://www.govtrack.us/congress/members/edward_markey/400253,,,,,,
29,Benjamin Sasse,NE,Male,Republican,2015-01-06 to 2021-01-03,https://www.sasse.senate.gov/public,https://www.govtrack.us/congress/members/benjamin_sasse/412671,,,,,,
30,Michael Crapo,ID,Male,Republican,2017-01-03 to 2023-01-03,https://www.crapo.senate.gov,https://www.govtrack.us/congress/members/michael_crapo/300030,,,,,,
31,Charles Grassley,IA,Male,Republican,2017-01-03 to 2023-01-03,https://www.grassley.senate.gov,https://www.govtrack.us/congress/members/charles_grassley/300048,,,,,,
35,Charles Schumer,NY,Male,Democrat,2017-01-03 to 2023-01-03,https://www.schumer.senate.gov,https://www.govtrack.us/congress/members/charles_schumer/300087,,,,,,
42,Robert Portman,OH,Male,Republican,2017-01-03 to 2023-01-03,https://www.portman.senate.gov,https://www.govtrack.us/congress/members/robert_portman/400325,,,,,,
43,Patrick Toomey,PA,Male,Republican,2017-01-03 to 2023-01-03,https://www.toomey.senate.gov,https://www.govtrack.us/congress/members/patrick_toomey/400408,,,,,,
60,Margaret Hassan,NH,Female,Democrat,2017-01-03 to 2023-01-03,https://www.hassan.senate.gov,https://www.govtrack.us/congress/members/margaret_hassan/412680,,,,,,
66,Thomas Carper,DE,Male,Democrat,2019-01-03 to 2025-01-03,https://www.carper.senate.gov/public,https://www.govtrack.us/congress/members/thomas_carper/300019,,,,,,
70,Marsha Blackburn,TN,Female,Republican,2019-01-03 to 2025-01-03,https://www.blackburn.senate.gov,https://www.govtrack.us/congress/members/marsha_blackburn/400032,,,,,,
72,Benjamin Cardin,MD,Male,Democrat,2019-01-03 to 2025-01-03,https://www.cardin.senate.gov,https://www.govtrack.us/congress/members/benjamin_cardin/400064,,,,,,
73,Robert Menendez,NJ,Male,Democrat,2019-01-03 to 2025-01-03,https://www.menendez.senate.gov,https://www.govtrack.us/congress/members/robert_menendez/400272,,,,,,
74,Bernard Sanders,VT,Male,Independent,2019-01-03 to 2025-01-03,https://www.sanders.senate.gov,https://www.govtrack.us/congress/members/bernard_sanders/400357,,,,,,
76,Christopher Murphy,CT,Male,Democrat,2019-01-03 to 2025-01-03,https://www.murphy.senate.gov,https://www.govtrack.us/congress/members/christopher_murphy/412194,,,,,,
81,Robert Casey,PA,Male,Democrat,2019-01-03 to 2025-01-03,https://www.casey.senate.gov,https://www.govtrack.us/congress/members/robert_casey/412246,,,,,,
86,Kyrsten Sinema,AZ,Female,Democrat,2019-01-03 to 2025-01-03,https://www.sinema.senate.gov,https://www.govtrack.us/congress/members/kyrsten_sinema/412509,,,,,,
89,Kevin Cramer,ND,Male,Republican,2019-01-03 to 2025-01-03,https://www.cramer.senate.gov,https://www.govtrack.us/congress/members/kevin_cramer/412555,,,,,,
92,Timothy Kaine,VA,Male,Democrat,2019-01-03 to 2025-01-03,https://www.kaine.senate.gov,https://www.govtrack.us/congress/members/timothy_kaine/412582,,,,,,
93,Martha McSally,AZ,Female,Republican,2019-01-03 to 2021-01-03,https://www.mcsally.senate.gov,https://www.govtrack.us/congress/members/martha_mcsally/412611,,,,,,
94,Jacky Rosen,NV,Female,Democrat,2019-01-03 to 2025-01-03,https://www.rosen.senate.gov,https://www.govtrack.us/congress/members/jacky_rosen/412715,,,,,,
95,Rick Scott,FL,Male,Republican,2019-01-08 to 2025-01-03,https://www.rickscott.senate.gov,https://www.govtrack.us/congress/members/rick_scott/412838,,,,,,
96,Mike Braun,IN,Male,Republican,2019-01-03 to 2025-01-03,https://www.braun.senate.gov,https://www.govtrack.us/congress/members/mike_braun/412839,,,,,,
97,Joshua Hawley,MO,Male,Republican,2019-01-03 to 2025-01-03,https://www.hawley.senate.gov,https://www.govtrack.us/congress/members/joshua_hawley/412840,,,,,,
98,Mitt Romney,UT,Male,Republican,2019-01-03 to 2025-01-03,https://www.romney.senate.gov,https://www.govtrack.us/congress/members/mitt_romney/412841,,,,,,
99,Kelly Loeffler,GA,Female,Republican,2020-01-06 to 2020-11-03,https://www.loeffler.senate.gov,https://www.govtrack.us/congress/members/kelly_loeffler/456790,,,,,,
